token sentstart
bin 21390
, 21393
wie 21395
immer 21399
. 21404
Geradeheraus 21406
will 21419
ich 21424
es 21428
Dir 21431
nur 21435
gestehen 21439
, 21447
daß 21449
, 21453
wie 21455
ich 21459
meine 21463
, 21468
alles 21470
Entsetzliche 21476
und 21489
Schreckliche 21493
, 21505
wovon 21507
Du 21513
sprichst 21516
, 21524
nur 21526
in 21530
Deinem 21533
Innern 21540
vorging 21547
, 21554
die 21556
wahre 21560
wirkliche 21566
Außenwelt 21576
aber 21587
daran 21592
wohl 21598
wenig 21603
teilhatte 21609
. 21618
Widerwärtig 21620
genug 21633
mag 21639
der 21643
alte 21647
Coppelius 21652
gewesen 21662
sein 21670
, 21674
aber 21676
daß 21681
er 21686
Kinder 21689
haßte 21696
, 21702
das 21704
brachte 21708
in 21716
Euch 21719
Kindern 21724
wahren 21732
Abscheu 21739
gegen 21747
ihn 21753
hervor 21757
. 21763

 21765
Natürlich 21766
verknüpfte 21777
sich 21789
nun 21794
in 21798
Deinem 21801
kindischen 21808
Gemüt 21819
der 21826
schreckliche 21830
Sandmann 21843
aus 21852
dem 21856
Ammenmärchen 21860
mit 21874
dem 21878
alten 21882
Coppelius 21888
, 21897
der 21899
Dir 21903
, 21906
glaubtest 21908
Du 21918
auch 21921
nicht 21926
an 21932
den 21935
Sandmann 21939
, 21947
ein 21949
gespenstischer 21953
, 21967
Kindern 21969
vorzüglich 21977
gefährlicher 21989
Unhold 22003
blieb 22010
. 22015
Das 22017
unheimliche 22021
Treiben 22033
mit 22041
Deinem 22045
Vater 22052
zur 22058
Nachtzeit 22062
war 22072
wohl 22076
nichts 22081
anders 22088
, 22094
als 22096
daß 22100
beide 22105
insgeheim 22111
alchimistische 22121
Versuche 22136
machten 22145
, 22152
womit 22154
die 22160
Mutter 22164
nicht 22171
zufrieden 22177
sein 22187
konnte 22192
, 22198
da 22200
gewiß 22203
viel 22210
Geld 22215
unnütz 22220
verschleudert 22228
und 22242
obendrein 22246
, 22255
wie 22257
es 22261
immer 22264
mit 22270
solchen 22274
Laboranten 22282
der 22293
Fall 22297
sein 22302
soll 22307
, 22311
des 22313
Vaters 22317
Gemüt 22324
, 22330
ganz 22332
von 22337
dem 22341
trügerischen 22345
Drange 22359
nach 22366
hoher 22371
Weisheit 22377
erfüllt 22386
, 22394
der 22396
Familie 22400
abwendig 22408
gemacht 22417
wurde 22425
. 22430
Der 22432
Vater 22436
hat 22442
wohl 22446
gewiß 22451
durch 22458
eigne 22464
Unvorsichtigkeit 22470
seinen 22487
Tod 22494
herbeigeführt 22498
, 22512
und 22514
Coppelius 22518

  22527
ist 22529
nicht 22533
schuld 22539
daran 22546
. 22551
Glaubst 22553
Du 22561
, 22563
daß 22565
ich 22570
den 22574
erfahrnen 22578
Nachbar 22588
Apotheker 22596
gestern 22606
frug 22614
, 22618
ob 22620
wohl 22623
bei 22628
chemischen 22632
Versuchen 22643
eine 22653
solche 22658
augenblicklich 22665
tötende 22680
Explosion 22689
möglich 22699
sei 22708
. 22711
Der 22713
sagte 22717
: 22722
„Ei 22724
, 22729
allerdings“ 22731
und 22745
beschrieb 22749
mir 22759
nach 22763
seiner 22768
Art 22775
gar 22779
weitläufig 22783
und 22795
umständlich 22799
, 22811
wie 22813
das 22817
zugehen 22821
könne 22829
, 22835
und 22837
nannte 22841
dabei 22848
so 22854
viel 22857
sonderbar 22862
klingende 22872
Namen 22882
, 22887
die 22889
ich 22893
gar 22897
nicht 22901
zu 22907
behalten 22910
vermochte 22919
. 22928
� 22930
� 22932
Nun 22934
wirst 22938
Du 22944
wohl 22947
unwillig 22952
werden 22961
über 22968
Deine 22974
Klara 22980

 22985
, 22986
Du 22988
wirst 22991
sagen 22997
: 23002
„In 23004
dies 23010
kalte 23015
Gemüt 23021
dringt 23028
kein 23035
Strahl 23040
des 23047
Geheimnisvollen 23051
, 23066
das 23068
den 23072
Menschen 23076
oft 23085
mit 23089
unsichtbaren 23093
Armen 23106
umfaßt 23112
; 23119
sie 23121
erschaut 23125
nur 23134
die 23138
bunte 23142
Oberfläche 23148
der 23160
Welt 23164
und 23169
freut 23173
sich 23179
wie 23184
das 23188
kindische 23192
Kind 23202
über 23207
die 23213
goldgleißende 23217
Frucht 23232
, 23238
in 23240
deren 23243
Innern 23249
tödliches 23256
Gift 23267
verborgen.“ 23272

 23286
Ach 23287
, 23290
mein 23292
herzgeliebter 23297
Nathanael 23311

 23320
! 23321
glaubst 23323
Du 23331
denn 23334
nicht 23339
, 23344
daß 23346
auch 23351
in 23356
heitern 23359
� 23367
� 23369
unbefangenen 23371
� 23384
� 23386
sorglosen 23388
Gemütern 23398
die 23408
Ahnung 23412
wohnen 23419
könne 23426
von 23433
einer 23437
dunklen 23443
Macht 23451
, 23456
die 23458
feindlich 23462
uns 23472
in 23476
unserm 23479
eignen 23486
Selbst 23493
zu 23500
verderben 23503
strebt 23513
? 23519
� 23521
� 23523
Aber 23525
verzeih 23530
es 23538
mir 23541
, 23544
wenn 23546
ich 23551
einfältig 23555
Mädchen 23566
mich 23575
unterfange 23580
, 23590
auf 23592
irgendeine 23596
Weise 23607
mir 23613
anzudeuten 23617
, 23627
was 23629
ich 23633
eigentlich 23637
von 23648
solchem 23652
Kampfe 23660
im 23667
Innern 23670
glaube 23677
. 23683
� 23685
� 23687
Ich 23689
finde 23693
wohl 23699
gar 23704
am 23708
Ende 23711
nicht 23716
die 23722
rechten 23726
Worte 23734
, 23739
und 23741
Du 23745
lachst 23748
mich 23755
aus 23760
, 23763
nicht 23765
weil 23771
ich 23776
was 23780
Dummes 23784
meine 23791
, 23796
sondern 23798
weil 23806
ich 23811
mich 23815
so 23820
ungeschickt 23823
anstelle 23835
, 23843
es 23845
zu 23848
sagen 23851
. 23856

 23858
Gibt 23859
es 23864
eine 23867
dunkle 23872
Macht 23879
, 23884
die 23886
so 23890
recht 23893
feindlich 23899
und 23909
verräterisch 23913
einen 23927
Faden 23933
in 23939
unser 23942
Inneres 23948
legt 23956
, 23960
woran 23962
sie 23968
uns 23972
dann 23976
festpackt 23981
und 23991
fortzieht 23995
auf 24005
einem 24009
gefahrvollen 24015
verderblichen 24028
Wege 24042
, 24046
den 24048
wir 24052
sonst 24056
nicht 24062
betreten 24068
haben 24077
würden 24083
� 24091
� 24093
gibt 24095
es 24100
eine 24103
solche 24108
Macht 24115
, 24120
so 24122
muß 24125
sie 24130
in 24134
uns 24137
sich 24141
wie 24146
wir 24150
selbst 24154
gestalten 24161
, 24170
ja 24172
unser 24175
Selbst 24181
werden 24188
; 24194
denn 24196
nur 24201
so 24205
glauben 24208
wir 24216
an 24220
sie 24223
und 24227
räumen 24231
ihr 24239
den 24243
Platz 24247
ein 24253
, 24256
dessen 24258
sie 24265
bedarf 24269
, 24275
um 24277
jenes 24280
geheime 24286
Werk 24294
zu 24299
vollbringen 24302
. 24313
Haben 24315
wir 24321
festen 24325
, 24331
durch 24333
das 24339
heitre 24343
Leben 24350
gestärkten 24356
Sinn 24368
genug 24373
, 24378
um 24380
fremdes 24383
feindliches 24391
Einwirken 24403
als 24413
solches 24417
stets 24425
zu 24431
erkennen 24434
und 24443
den 24447
Weg 24451
, 24454
in 24456
den 24459
uns 24463
Neigung 24467
und 24475
Beruf 24479
geschoben 24485
, 24494
ruhigen 24496
Schrittes 24504
zu 24514
verfolgen 24517
, 24526
so 24528
geht 24531
wohl 24536
jene 24541
unheimliche 24546
Macht 24558
unter 24564
in 24570
dem 24573
vergeblichen 24577
Ringen 24590
nach 24597
der 24602
Gestaltung 24606
, 24616
die 24618
unser 24622
eignes 24628
Spiegelbild 24635
sein 24647
sollte 24652
. 24658
„Es 24660
ist 24666
auch 24670
gewiß“ 24675
, 24684
fügt 24686
Lothar 24692

  24698
hinzu 24700
, 24705
„daß 24707
die 24715
dunkle 24719
psychische 24726
Macht 24737
, 24742
haben 24744
wir 24750
uns 24754
durch 24758
uns 24764
selbst 24768
ihr 24775
hingegeben 24779
, 24789
oft 24791
fremde 24795
Gestalten 24802
, 24811
die 24813
die 24817
Außenwelt 24821

  24831
uns 24833
in 24837
den 24840
Weg 24844
wirft 24848
, 24853
in 24855
unser 24858
Inneres 24864
hineinzieht 24872
, 24883
so 24885
, 24887
daß 24889
wir 24894
selbst 24898
nur 24905
den 24909
Geist 24913
entzünden 24919
, 24929
der 24931
, 24934
wie 24936
wir 24940
in 24944
wunderlicher 24947
Täuschung 24960
glauben 24971
, 24978
aus 24980
jener 24984
Gestalt 24990
spricht 24998
. 25005
Es 25007
ist 25010
das 25014
Phantom 25018
unseres 25026
eigenen 25034
Ichs 25042
, 25046
dessen 25048
innige 25055
Verwandtschaft 25062
und 25077
dessen 25081
tiefe 25088
Einwirkung 25094
auf 25105
unser 25109
Gemüt 25115
uns 25122
in 25126
die 25129
Hölle 25133
wirft 25140
oder 25146
in 25151
den 25154
Himmel 25158
verzückt.“ 25165
� 25179
� 25181
Du 25183
merkst 25186
, 25192
mein 25194
herzlieber 25199
Nathanael 25210

 25219
! 25220
daß 25222
wir 25227
, 25230
ich 25232
und 25236
Bruder 25240
Lothar 25247

 25253
, 25254
uns 25256
recht 25260
über 25266
die 25272
Materie 25276
von 25284
dunklen 25288
Mächten 25296
und 25305
Gewalten 25309
ausgesprochen 25318
haben 25332
, 25337
die 25339
mir 25343
nun 25347
, 25350
nachdem 25352
ich 25360
nicht 25364
ohne 25370
Mühe 25375
das 25381
Hauptsächlichste 25385
aufgeschrieben 25403
, 25417
ordentlich 25419
tiefsinnig 25430
vorkommt 25441
. 25449
Lothars 25451

  25458
letzte 25460
Worte 25467
verstehe 25473
ich 25482
nicht 25486
ganz 25492
, 25496
ich 25498
ahne 25502
nur 25507
, 25510
was 25512
er 25516
meint 25519
, 25524
und 25526
doch 25530
ist 25535
es 25539
mir 25542
, 25545
als 25547
sei 25551
alles 25555
sehr 25561
wahr 25566
. 25570
Ich 25572
bitte 25576
Dich 25582
, 25586
schlage 25588
Dir 25596
den 25600
häßlichen 25604
Advokaten 25616
Coppelius 25626

  25635
und 25637
den 25641
Wetterglasmann 25645
Giuseppe 25660
Coppola 25669

  25676
ganz 25678
aus 25683
dem 25687
Sinn 25691
. 25695
Sei 25697
überzeugt 25701
, 25711
daß 25713
diese 25718
fremden 25724
Gestalten 25732
nichts 25742
über 25749
Dich 25755
vermögen 25760
; 25769
nur 25771
der 25775
Glaube 25779
an 25786
ihre 25789
feindliche 25794
Gewalt 25805
kann 25812
sie 25817
Dir 25821
in 25825
der 25828
Tat 25832
feindlich 25836
machen 25846
. 25852
Spräche 25854
nicht 25863
aus 25869
jeder 25873
Zeile 25879
Deines 25885
Briefes 25892
die 25900
tiefste 25904
Aufregung 25912
Deines 25922
Gemüts 25929
, 25936
schmerzte 25938
mich 25948
nicht 25953
Dein 25959
Zustand 25964
recht 25972
in 25978
innerster 25981
Seele 25991
, 25996
wahrhaftig 25998
, 26008
ich 26010
könnte 26014
über 26022
den 26028
Advokaten 26032
Sandmann 26042

  26050
und 26052
den 26056
Wetterglashändler 26060
Coppelius 26079

  26088
scherzen 26090
. 26098
Sei 26100
heiter 26104
� 26111
� 26113
heiter 26115
! 26121
� 26123
� 26125
Ich 26127
habe 26131
mir 26136
vorgenommen 26140
, 26151
bei 26153
Dir 26157
zu 26161
erscheinen 26164
wie 26175
Dein 26179
Schutzgeist 26184
und 26196
den 26200
häßlichen 26204
Coppola 26216

 26223
, 26224
sollte 26226
er 26233
es 26236
sich 26239
etwa 26244
beikommen 26249
lassen 26259
, 26265
Dir 26267
im 26271
Traum 26274
beschwerlich 26280
zu 26293
fallen 26296
, 26302
mit 26304
lautem 26308
Lachen 26315
fortzubannen 26322
. 26334
Ganz 26336
und 26341
gar 26345
nicht 26349
fürchte 26355
ich 26364
mich 26368
vor 26373
ihm 26377
und 26381
vor 26385
seinen 26389
garstigen 26396
Fäusten 26406
, 26414
er 26416
soll 26419
mir 26424
weder 26428
als 26434
Advokat 26438
eine 26446
Näscherei 26451
noch 26462
als 26467
Sandmann 26471
die 26480
Augen 26484
verderben 26490
. 26499

 26501
Ewig 26502
, 26506
mein 26508
herzinnigstgeliebter 26513
Nathanael 26534

  26543
etc. 26545
etc. 26550
etc. 26555


 26560
Nathanael 26562
an 26572
Lothar 26575
Sehr 26582
unlieb 26587
ist 26594
es 26598
mir 26601
, 26604
daß 26606
Klara 26611
neulich 26617
den 26625
Brief 26629
an 26635
Dich 26638
aus 26643
, 26646
freilich 26648
durch 26657
meine 26663
Zerstreutheit 26669
veranlaßtem 26683
, 26695
Irrtum 26697
erbrach 26704
und 26712
las 26716
. 26719
Sie 26721
hat 26725
mir 26729
einen 26733
sehr 26739
tiefsinnigen 26744
philosophischen 26757
Brief 26773
geschrieben 26779
, 26790
worin 26792
sie 26798
ausführlich 26802
beweiset 26815
, 26823
daß 26825
Coppelius 26830
und 26840
Coppola 26844
nur 26852
in 26856
meinem 26859
Innern 26866
existieren 26873
und 26884
Phantome 26888
meines 26897
Ichs 26904
sind 26909
, 26913
die 26915
augenblicklich 26919
zerstäuben 26934
, 26945
wenn 26947
ich 26952
sie 26956
als 26960
solche 26964
erkenne 26971
. 26978
In 26980
der 26983
Tat 26987
, 26990
man 26992
sollte 26996
gar 27003
nicht 27007
glauben 27013
, 27020
daß 27022
der 27027
Geist 27031
, 27036
der 27038
aus 27042
solch 27046
hellen 27052
holdlächelnden 27059
Kindesaugen 27075
oft 27087
wie 27091
ein 27095
lieblicher 27099
süßer 27110
Traum 27118
hervorleuchtet 27124
, 27138
so 27140
gar 27143
verständig 27147
, 27158
so 27160
magistermäßig 27163
distinguieren 27179
könne 27193
. 27199
Sie 27201
beruft 27205
sich 27212
auf 27217
Dich 27221
. 27225
Ihr 27227
habt 27231
über 27236
mich 27242
gesprochen 27247
. 27257
Du 27259
liesest 27262
ihr 27270
wohl 27274
logische 27279
Collegia 27288
, 27296
damit 27298
sie 27304
alles 27308
fein 27314
sichten 27319
und 27327
sondern 27331
lerne 27339
. 27344
� 27346
� 27348
Laß 27350
das 27355
bleiben 27359
! 27366
� 27368
� 27370
Übrigens 27372
ist 27382
es 27386
wohl 27389
gewiß 27394
, 27400
daß 27402
der 27407
Wetterglashändler 27411
Giuseppe 27430
Coppola 27439

  27446
keinesweges 27448
der 27460
alte 27464
Advokat 27469
Coppelius 27477

  27486
ist 27488
. 27491
Ich 27493
höre 27497
bei 27503
dem 27507
erst 27511
neuerdings 27516
angekommenen 27527
Professor 27540
der 27550
Physik 27554
, 27560
der 27562
, 27565
wie 27567
jener 27571
berühmte 27577
Naturforscher 27587
, 27600
Spallanzani 27602
heißt 27614
und 27621
italienischer 27625

  27638
Abkunft 27640
ist 27648
, 27651
Collegia 27653

 27661
. 27662
Der 27664
kennt 27668
den 27674
Coppola 27678

  27685
schon 27687
seit 27693
vielen 27698
Jahren 27705
, 27711
und 27713
überdem 27717
hört 27726
man 27732
es 27736
auch 27739
seiner 27744
Aussprache 27751
an 27762
, 27764
daß 27766
er 27771
wirklich 27774
Piemonteser 27783
ist 27795
. 27798
Coppelius 27800

  27809
war 27811
ein 27815
Deutscher 27819

 27828
, 27829
aber 27831
, 27835
wie 27837
mich 27841
dünkt 27846
, 27852
kein 27854
ehrlicher 27859
. 27868
Ganz 27870
beruhigt 27875
bin 27884
ich 27888
nicht 27892
. 27897
Haltet 27899
Ihr 27906
, 27909
Du 27911
und 27914
Klara 27918

 27923
, 27924
mich 27926
immerhin 27931
für 27940
einen 27945
düstern 27951
Träumer 27960
, 27968
aber 27970
nicht 27975
los 27981
kann 27985
ich 27990
den 27994
Eindruck 27998
werden 28007
, 28013
den 28015
Coppelius� 28019
� 28030

  28031
verfluchtes 28033
Gesicht 28045
auf 28053
mich 28057
macht 28062
. 28067
Ich 28069
bin 28073
froh 28077
, 28081
daß 28083
er 28088
fort 28091
ist 28096
aus 28100
der 28104
Stadt 28108
, 28113
wie 28115
mir 28119
Spallanzani 28123
sagt 28135
. 28139
Dieser 28141
Professor 28148
ist 28158
ein 28162
wunderlicher 28166
Kauz 28179
. 28183
Ein 28185
kleiner 28189
rundlicher 28197
Mann 28208
, 28212
das 28214
Gesicht 28218
mit 28226
starken 28230
Backenknochen 28238
, 28251
feiner 28253
Nase 28260
, 28264
aufgeworfnen 28266
Lippen 28279
, 28285
kleinen 28287
stechenden 28295
Augen 28306
. 28311
Doch 28313
besser 28318
als 28325
in 28329
jeder 28332
Beschreibung 28338
siehst 28351
Du 28358
ihn 28361
, 28364
wenn 28366
Du 28371
den 28374
Cagliostro 28378

 28388
, 28389
wie 28391
er 28395
von 28398
Chodowiecki 28402

  28413
in 28415
irgendeinem 28418
berlinischen 28430
Taschenkalender 28443
steht 28459
, 28464
anschauest 28466
. 28476
� 28478
� 28480
So 28482
sieht 28485
Spallanzani 28491

  28502
aus 28504
. 28507
� 28509
� 28511
Neulich 28513
steige 28521
ich 28528
die 28532
Treppe 28536
herauf 28543
und 28550
nehme 28554
wahr 28560
, 28564
daß 28566
die 28571
sonst 28575
einer 28581
Glastüre 28587
dicht 28597
vorgezogene 28603
Gardine 28615
zur 28623
Seite 28627
einen 28633
kleinen 28639
Spalt 28647
läßt 28653
. 28659
Selbst 28661
weiß 28668
ich 28674
nicht 28678
, 28683
wie 28685
ich 28689
dazu 28693
kam 28698
, 28701
neugierig 28703
durchzublicken 28713
. 28727
Ein 28729
hohes 28733
, 28738
sehr 28740
schlank 28745
im 28753
reinsten 28756
Ebenmaß 28765
gewachsenes 28774
, 28785
herrlich 28787
gekleidetes 28796
Frauenzimmer 28808
saß 28821
im 28826
Zimmer 28829
vor 28836
einem 28840
kleinen 28846
Tisch 28854
, 28859
auf 28861
den 28865
sie 28869
beide 28873
� 28879
� 28880
rme 28881
, 28884
die 28886
Hände 28890
zusammengefaltet 28897
, 28913
gelegt 28915
hatte 28922
. 28927
Sie 28929
saß 28933
der 28938
Türe 28942
gegenüber 28948
, 28958
so 28960
daß 28963
ich 28968
ihr 28972
engelschönes 28976
Gesicht 28990
ganz 28998
erblickte 29003
. 29012
Sie 29014
schien 29018
mich 29025
nicht 29030
zu 29036
bemerken 29039
, 29047
und 29049
überhaupt 29053
hatten 29064
ihre 29071
Augen 29076
etwas 29082
Starres 29088
, 29095
beinahe 29097
möcht 29105
ich 29112
sagen 29116
, 29121
keine 29123
Sehkraft 29129
, 29137
es 29139
war 29142
mir 29146
so 29150
, 29152
als 29154
schliefe 29158
sie 29167
mit 29171
offnen 29175
Augen 29182
. 29187
Mir 29189
wurde 29193
ganz 29199
unheimlich 29204
, 29214
und 29216
deshalb 29220
schlich 29228
ich 29236
leise 29240
fort 29246
ins 29251
Auditorium 29255
, 29265
das 29267
daneben 29271
gelegen 29279
. 29286
Nachher 29288
erfuhr 29296
ich 29303
, 29306
daß 29308
die 29313
Gestalt 29317
, 29324
die 29326
ich 29330
gesehen 29334
, 29341
Spallanzanis 29343

  29355
Tochter 29357
Olimpia 29365

  29372
war 29374
, 29377
die 29379
er 29383
sonderbarer- 29386
und 29399
schlechterweise 29403
einsperrt 29419
, 29428
so 29430
, 29432
daß 29434
durchaus 29439
kein 29448
Mensch 29453
in 29460
ihre 29463
Nähe 29468
kommen 29474
darf 29481
. 29485
� 29487
� 29489
Am 29491
Ende 29494
hat 29499
es 29503
eine 29506
Bewandtnis 29511
mit 29522
ihr 29526
, 29529
sie 29531
ist 29535
vielleicht 29539
blödsinnig 29550
oder 29562
sonst 29567
. 29572
� 29574
� 29576
Weshalb 29578
schreibe 29586
ich 29595
Dir 29599
aber 29603
das 29608
alles 29612
? 29617
Besser 29619
und 29626
ausführlicher 29630
hätte 29645
ich 29652
Dir 29656
das 29660
mündlich 29664
erzählen 29674
können 29684
. 29691
Wisse 29693
nämlich 29699
, 29707
daß 29709
ich 29714
über 29718
vierzehn 29724
Tage 29733
bei 29738
Euch 29742
bin 29747
. 29750
Ich 29752
muß 29756
mein 29761
süßes 29766
liebes 29774
Engelsbild 29781
, 29791
meine 29793
Klara 29799

 29804
, 29805
wiedersehen 29807
. 29818
Weggehaucht 29820
wird 29832
dann 29837
die 29842
Verstimmung 29846
sein 29858
, 29862
die 29864
sich 29868
( 29873
ich 29874
muß 29878
das 29883
gestehen 29887
) 29895
nach 29897
dem 29902
fatalen 29906
verständigen 29914
Briefe 29928
meiner 29935
bemeistern 29942
wollte 29953
. 29959
Deshalb 29961
schreibe 29969
ich 29978
auch 29982
heute 29987
nicht 29993
an 29999
sie 30002
. 30005

 30007
Tausend 30008
Grüße 30016
etc. 30024
etc. 30029
etc. 30034

 30039
Seltsamer 30040
und 30050
wunderlicher 30054
kann 30067
nichts 30072
erfunden 30079
werden 30088
, 30094
als 30096
dasjenige 30100
ist 30110
, 30113
was 30115
sich 30119
mit 30124
meinem 30128
armen 30135
Freunde 30141
, 30148
dem 30150
jungen 30154
Studenten 30161
Nathanael 30171

 30180
, 30181
zugetragen 30183
und 30194
was 30198
ich 30202
dir 30206
, 30209
günstiger 30211
Leser 30222
! 30227
zu 30229
erzählen 30232
unternommen 30242
. 30253
Hast 30255
du 30260
, 30262
Geneigtester 30264
! 30276
wohl 30278
jemals 30283
etwas 30290
erlebt 30296
, 30302
das 30304
deine 30308
Brust 30314
, 30319
Sinn 30321
und 30326
Gedanken 30330
ganz 30339
und 30344
gar 30348
erfüllte 30352
, 30361
alles 30363
andere 30369
daraus 30376
verdrängend 30383
? 30395
Es 30397
gärte 30400
und 30407
kochte 30411
in 30418
dir 30421
; 30424
zur 30426
siedenden 30430
Glut 30440
entzündet 30445
, 30455
sprang 30457
das 30464
Blut 30468
durch 30473
die 30479
Adern 30483
und 30489
färbte 30493
höher 30501
deine 30508
Wangen 30514
. 30520
Dein 30522
Blick 30527
war 30533
so 30537
seltsam 30540
, 30547
als 30549
wolle 30553
er 30559
Gestalten 30562
, 30571
keinem 30573
andern 30580
Auge 30587
sichtbar 30592
, 30600
im 30602
leeren 30605
Raum 30612
erfassen 30617
, 30625
und 30627
die 30631
Rede 30635
zerfloß 30640
in 30649
dunkle 30652
Seufzer 30659
. 30666
Da 30668
frugen 30671
dich 30678
die 30683
Freunde 30687
: 30694
„Wie 30696
ist 30703
Ihnen 30707
, 30712
Verehrter 30714
? 30723
� 30725
� 30727
Was 30729
haben 30733
Sie 30739
, 30742
Teurer 30744
? 30750
“ 30751
Und 30755
nun 30759
wolltest 30763
du 30772
das 30775
innere 30779
Gebilde 30786
mit 30794
allen 30798
glühenden 30804
Farben 30815
und 30822
Schatten 30826
und 30835
Lichtern 30839
aussprechen 30848
und 30860
mühtest 30864
dich 30873
ab 30878
, 30880
Worte 30882
zu 30888
finden 30891
, 30897
um 30899
nur 30902
anzufangen 30906
. 30916
Aber 30918
es 30923
war 30926
dir 30930
, 30933
als 30935
müßtest 30939
du 30949
nun 30952
gleich 30956
im 30963
ersten 30966
Wort 30973
alles 30978
Wunderbare 30984
, 30994
Herrliche 30996
, 31005
Entsetzliche 31007
, 31019
Lustige 31021
, 31028
Grauenhafte 31030
, 31041
das 31043
sich 31047
zugetragen 31052
, 31062
recht 31064
zusammengreifen 31070
, 31085
so 31087
daß 31090
es 31095
wie 31098
ein 31102
elektrischer 31106
Schlag 31119
alle 31126
treffe 31131
. 31137
Doch 31139
jedes 31144
Wort 31150
, 31154
alles 31156
, 31161
was 31163
Rede 31167
vermag 31172
, 31178
schien 31180
dir 31187
farblos 31191
und 31199
frostig 31203
und 31211
tot 31215
. 31218
Du 31220
suchst 31223
und 31230
suchst 31234
und 31241
stotterst 31245
und 31255
stammelst 31259
, 31268
und 31270
die 31274
nüchternen 31278
Fragen 31290
der 31297
Freunde 31301
schlagen 31309
wie 31318
eisige 31322
Windeshauche 31329
hinein 31342
in 31349
deine 31352
innere 31358
Glut 31365
, 31369
bis 31371
sie 31375
verlöschen 31379
will 31391
. 31395
Hattest 31397
du 31405
aber 31408
wie 31413
ein 31417
kecker 31421
Maler 31428
erst 31434
mit 31439
einigen 31443
verwegenen 31451
Strichen 31462
den 31471
Umriß 31475
deines 31482
innern 31489
Bildes 31496
hingeworfen 31503
, 31514
so 31516
trugst 31519
du 31526
mit 31529
leichter 31533
Mühe 31542
immer 31548
glühender 31554
und 31565
glühender 31569
die 31580
Farben 31584
auf 31591
, 31594
und 31596
das 31600
lebendige 31604
Gewühl 31614
mannigfacher 31622
Gestalten 31635
riß 31645
die 31650
Freunde 31654
fort 31662
, 31666
und 31668
sie 31672
sahen 31676
, 31681
wie 31683
du 31687
, 31689
sich 31691
selbst 31696
mitten 31703
im 31710
Bilde 31713
, 31718
das 31720
aus 31724
deinem 31728
Gemüt 31735
hervorgegangen 31742
! 31756
� 31758
� 31760
Mich 31762
hat 31767
, 31770
wie 31772
ich 31776
es 31780
dir 31783
, 31786
geneigter 31788
Leser 31798
! 31803
gestehen 31805
muß 31814
, 31818
eigentlich 31820
niemand 31831
nach 31839
der 31844
Geschichte 31848
des 31859
jungen 31863
Nathanael 31870

  31879
gefragt 31881
; 31888
du 31890
weißt 31893
ja 31900
aber 31903
wohl 31908
, 31912
daß 31914
ich 31919
zu 31923
dem 31926
wunderlichen 31930
Geschlechte 31943
der 31955
Autoren 31959
gehöre 31967
, 31974
denen 31976
, 31981
tragen 31983
sie 31990
etwas 31994
so 32000
in 32003
sich 32006
, 32010
wie 32012
ich 32016
es 32020
vorhin 32023
beschrieben 32030
, 32041
so 32043
zumute 32046
wird 32053
, 32057
als 32059
frage 32063
jeder 32069
, 32074
der 32076
in 32080
ihre 32083
Nähe 32088
kommt 32094
, 32099
und 32101
nebenher 32105
auch 32114
wohl 32119
noch 32124
die 32129
ganze 32133
Welt 32139
: 32143
„Was 32145
ist 32152
es 32156
denn 32159
? 32163
Erzählen 32165
Sie 32175
, 32178
Liebster 32180
? 32188
“ 32189
� 32193
� 32195
So 32197
trieb 32200
es 32206
mich 32209
denn 32214
gar 32219
gewaltig 32223
, 32231
von 32233
Nathanaels 32237

  32247
verhängnisvollem 32249
Leben 32267
zu 32273
dir 32276
zu 32280
sprechen 32283
. 32291
Das 32293
Wunderbare 32297
, 32307
Seltsame 32309
davon 32318
erfüllte 32324
meine 32334
ganze 32340
Seele 32346
, 32351
aber 32353
ebendeshalb 32358
und 32370
weil 32374
ich 32379
dich 32383
, 32387
o 32389
mein 32391
Leser 32396
! 32401
gleich 32403
geneigt 32410
machen 32418
mußte 32425
, 32431
Wunderliches 32433
zu 32446
ertragen 32449
, 32457
welches 32459
nichts 32467
Geringes 32474
ist 32483
, 32486
quälte 32488
ich 32496
mich 32500
ab 32505
, 32507
Nathanaels 32509
Geschichte 32520
, 32530
bedeutend 32532
� 32542
� 32544
originell 32546
, 32555
ergreifend 32557
, 32567
anzufangen 32569
: 32579
„Es 32581
war 32587
einmal“ 32591
� 32601
� 32603
der 32605
schönste 32609
Anfang 32619
jeder 32626
Erzählung 32632
, 32642
zu 32644
nüchtern 32647
! 32656
� 32658
� 32660
„In 32662
der 32668
kleinen 32672
Provinzialstadt 32680
S. 32696
lebte“ 32699
� 32708
� 32710
etwas 32712
besser 32718
, 32724
wenigstens 32726
ausholend 32737
zum 32747
Klimax 32751
. 32757
� 32759
� 32761
Oder 32763
gleich 32768
medias 32775
in 32782
res 32785
: 32788
„‚Scher 32790

  32801
er 32803
sich 32806
zum 32811
Teufel‘ 32815
, 32824
rief 32826
, 32830
Wut 32832
und 32836
Entsetzen 32840
im 32850
wilden 32853
Blick 32860
, 32865
der 32867
Student 32871
Nathanael 32879

 32888
, 32889
als 32891
der 32895
Wetterglashändler 32899
Giuseppe 32918
Coppola 32927

 32934
... 32935
“ 32938
� 32942
� 32944
Das 32946
hatte 32950
ich 32956
in 32960
